epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.808,1.44402,1.96358,1.10578,0.55823,0.28452,0.31399,0.17308,1.33299,1.19198,1.05043,0.000276926,0.000276926,0.000276926
2,193.34,1.30685,1.24503,1.07233,0.52657,0.3795,0.39463,0.22314,1.30485,1.06846,1.0688,0.000549102,0.000549102,0.000549102
3,267.717,1.26854,1.09734,1.06066,0.48034,0.4395,0.44136,0.25171,1.26315,1.01956,1.06372,0.000815781,0.000815781,0.000815781
4,342.942,1.2397,1.02093,1.05618,0.60345,0.45185,0.50049,0.28799,1.21495,0.95338,1.04258,0.00080826,0.00080826,0.00080826
5,416.824,1.1983,0.93745,1.04008,0.63685,0.47042,0.53448,0.31038,1.1841,0.89481,1.02655,0.000800013,0.000800013,0.000800013
6,491.014,1.17395,0.89126,1.03084,0.59857,0.479,0.52135,0.31084,1.14736,0.89471,1.01513,0.000791767,0.000791767,0.000791767
7,566.286,1.15649,0.86354,1.02687,0.6645,0.55441,0.58316,0.35494,1.13628,0.82737,1.01686,0.00078352,0.00078352,0.00078352
8,642.31,1.14199,0.83848,1.02035,0.65193,0.56673,0.62015,0.3795,1.12619,0.81449,1.01212,0.000775273,0.000775273,0.000775273
9,718.087,1.11604,0.80987,1.00946,0.70371,0.56274,0.62789,0.38929,1.10334,0.77034,1.00733,0.000767026,0.000767026,0.000767026
10,792.093,1.10851,0.79427,1.00897,0.68389,0.57161,0.64618,0.40274,1.07983,0.77624,1.00388,0.00075878,0.00075878,0.00075878
11,867.174,1.0962,0.78089,1.00266,0.78426,0.57461,0.67731,0.42509,1.0516,0.72952,0.99197,0.000750533,0.000750533,0.000750533
12,940.878,1.0755,0.76373,0.99645,0.73774,0.60766,0.68114,0.42817,1.05786,0.72533,0.99015,0.000742286,0.000742286,0.000742286
13,1014.9,1.0635,0.74973,0.9922,0.7157,0.62298,0.68159,0.4258,1.06504,0.73117,0.99092,0.00073404,0.00073404,0.00073404
14,1089.06,1.05378,0.73437,0.98693,0.74567,0.61726,0.69123,0.43697,1.0366,0.70379,0.98571,0.000725793,0.000725793,0.000725793
15,1164.37,1.04589,0.72667,0.98443,0.70058,0.64273,0.69238,0.44417,1.02364,0.69959,0.97854,0.000717546,0.000717546,0.000717546
16,1238.34,1.03063,0.70635,0.97603,0.76231,0.62086,0.71395,0.45384,1.02405,0.68875,0.97535,0.000709299,0.000709299,0.000709299
17,1312.32,1.02071,0.69993,0.97455,0.75357,0.66881,0.72524,0.46155,1.00598,0.67494,0.97253,0.000701053,0.000701053,0.000701053
18,1386.16,1.02188,0.69827,0.97637,0.7692,0.6562,0.7339,0.48319,1.00204,0.67092,0.96994,0.000692806,0.000692806,0.000692806
19,1460.77,1.01279,0.68916,0.97229,0.77528,0.62973,0.72928,0.47146,1.00252,0.66246,0.96755,0.000684559,0.000684559,0.000684559
